,ts_code,stk_code,list_date,industry,market,total_mv,profit,year,month
0,128024.SZ,002142.SZ,2018-01-12,银行,中小板,938.40744966,0.115,2018,1
1,123003.SZ,300433.SZ,2018-01-17,元器件,创业板,708.78664329,-0.04989999999999995,2018,1
2,128026.SZ,002772.SZ,2018-01-03,种植业,中小板,41.402375410000005,0.0025,2018,1
3,128027.SZ,002815.SZ,2018-01-22,元器件,中小板,121.77,0.07,2018,1
4,113503.SH,603738.SH,2018-01-02,元器件,主板,27.330131599999998,0.08,2018,1
5,123004.SZ,300197.SZ,2018-01-26,环境保护,创业板,170.20120488,0.07,2018,1
6,123005.SZ,300168.SZ,2018-01-30,软件服务,创业板,145.89819384,0.15,2018,1
7,123006.SZ,300059.SZ,2018-01-29,证券,创业板,689.63577865,0.25,2018,1
8,128028.SZ,002460.SZ,2018-01-19,小金属,中小板,440.38966770999997,0.0,2018,1
9,128029.SZ,002078.SZ,2018-01-16,造纸,中小板,277.92513750999996,0.13,2018,1
10,128030.SZ,002100.SZ,2018-01-29,饲料,中小板,80.24993785,0.08099999999999995,2018,1
11,110041.SH,600863.SH,2018-01-09,火力发电,主板,174.81312450000001,0.04019999999999996,2018,1
12,128032.SZ,002472.SZ,2018-01-25,机械基件,中小板,62.898008,0.03510000000000005,2018,1
13,110042.SH,600372.SH,2018-01-15,航空,主板,236.95924775,0.03,2018,1
14,113017.SH,601929.SH,2018-01-15,影视音像,主板,91.45755503999999,0.024000000000000056,2018,1
15,128033.SZ,002658.SZ,2018-01-29,环境保护,中小板,74.40027936,0.032999999999999974,2018,1
16,123007.SZ,300409.SZ,2018-01-26,陶瓷,创业板,106.0165,0.18,2018,1
17,113018.SH,601128.SH,2018-02-06,银行,主板,174.03959997,0.06,2018,2
18,128034.SZ,002807.SZ,2018-02-14,银行,中小板,134.14219494,-0.010100000000000052,2018,2
19,110043.SH,600908.SH,2018-03-14,银行,主板,144.52257845,-0.0012000000000000454,2018,3
20,123008.SZ,300601.SZ,2018-03-19,生物制药,创业板,235.418378,0.20120000000000005,2018,3
21,128035.SZ,002008.SZ,2018-03-05,电器仪表,中小板,598.62360245,0.12,2018,3
22,113019.SH,601966.SH,2018-03-22,汽车配件,主板,218.88,0.03200000000000003,2018,3
23,113504.SH,603989.SH,2018-03-23,元器件,主板,109.56,0.08,2018,3
24,113505.SH,603618.SH,2018-03-27,电气设备,主板,47.66939622,0.005,2018,3
25,123009.SZ,300568.SZ,2018-04-10,化工原料,创业板,64.032,0.22,2018,4
26,128036.SZ,002548.SZ,2018-04-02,饲料,中小板,35.23783769,0.01,2018,4
27,127005.SZ,000783.SZ,2018-04-11,证券,主板,397.56872605,0.08,2018,4
28,127006.SZ,000623.SZ,2018-05-11,化学制药,主板,234.29814734,0.05,2018,5
29,128037.SZ,002542.SZ,2018-04-25,建筑工程,中小板,133.8329,-0.035,2018,4
30,128038.SZ,002131.SZ,2018-04-19,互联网,中小板,144.72567428,-0.01,2018,4
31,113506.SH,603421.SH,2018-05-14,通信设备,主板,102.09150720000001,0.08900000000000005,2018,5
32,113507.SH,603668.SH,2018-05-07,饲料,主板,30.54072,-0.03,2018,5
33,113508.SH,603225.SH,2018-05-16,化纤,主板,181.37056,0.0,2018,5
34,113509.SH,603179.SH,2018-06-22,汽车配件,主板,52.955191799999994,-0.033499999999999946,2018,6
35,128039.SZ,002224.SZ,2018-06-29,橡胶,中小板,39.2207156,-0.08530000000000001,2018,6
36,128040.SZ,002758.SZ,2018-07-13,医药商业,中小板,21.273,-0.02,2018,7
37,113510.SH,603601.SH,2018-07-13,玻璃,主板,49.19567052,-0.007000000000000029,2018,7
38,113511.SH,603027.SH,2018-07-10,食品,主板,70.21721208000001,-0.025,2018,7
39,110044.SH,600831.SH,2018-07-24,影视音像,主板,37.1450161,-0.04,2018,7
40,127007.SZ,000665.SZ,2018-08-01,影视音像,主板,53.8239961,-0.06349999999999995,2018,8
41,123010.SZ,300422.SZ,2018-08-14,环境保护,创业板,48.746693910000005,-0.011200000000000045,2018,8
42,113512.SH,603228.SH,2018-07-24,元器件,主板,231.5808,0.18,2018,7
43,113513.SH,603345.SH,2018-07-31,食品,主板,85.076552,0.12,2018,7
44,110045.SH,600398.SH,2018-07-31,服饰,主板,521.60919498,-0.01,2018,7
45,128041.SZ,002446.SZ,2018-08-14,通信设备,中小板,51.97591973,-0.01,2018,8
46,123011.SZ,300473.SZ,2018-08-14,汽车配件,创业板,35.546896000000004,-0.019500000000000028,2018,8
47,113514.SH,603023.SH,2018-08-13,汽车配件,主板,21.24,0.018900000000000007,2018,8
48,123012.SZ,300057.SZ,2018-08-29,广告包装,创业板,25.41262434,-0.07489999999999995,2018,8
49,113515.SH,603588.SH,2018-08-27,环境保护,主板,60.391815,-0.02019999999999996,2018,8
50,123013.SZ,300539.SZ,2018-08-20,塑料,创业板,17.1589,-0.07,2018,8
51,123014.SZ,300407.SZ,2018-08-21,电气设备,创业板,19.48479,-0.09900000000000006,2018,8
52,128042.SZ,002823.SZ,2018-09-03,机械基件,中小板,33.135873769999996,-0.07,2018,9
53,128043.SZ,002793.SZ,2018-08-27,专用机械,中小板,24.84,-0.045,2018,8
54,113516.SH,603323.SH,2018-08-20,银行,主板,88.62276075,-0.027999999999999973,2018,8
55,113517.SH,603019.SH,2018-08-23,IT设备,主板,332.44339249,0.010999999999999944,2018,8
56,123015.SZ,300297.SZ,2018-09-13,软件服务,创业板,84.13443233000001,-0.044500000000000026,2018,9
57,128044.SZ,002717.SZ,2018-09-04,环境保护,中小板,97.24144233999999,-0.039000000000000055,2018,9
58,128045.SZ,002013.SZ,2018-09-14,航空,中小板,296.26879679999996,0.16120000000000004,2018,9
59,113518.SH,603816.SH,2018-10-09,家居用品,主板,195.71734339999998,-0.01,2018,10
60,128046.SZ,002258.SZ,2018-11-09,农药化肥,中小板,91.50309374000001,0.00025999999999996246,2018,11
61,128047.SZ,002179.SZ,2018-12-07,元器件,中小板,312.10528269,0.06609999999999999,2018,12
62,123016.SZ,300232.SZ,2018-12-03,半导体,创业板,74.45128335,0.01,2018,12
63,113519.SH,603569.SH,2018-11-30,仓储物流,主板,66.641666,0.00519999999999996,2018,11
64,113520.SH,603313.SH,2018-11-26,家居用品,主板,45.888,0.03,2018,11
65,128048.SZ,002839.SZ,2018-11-29,银行,中小板,106.82482590000001,0.040499999999999974,2018,11
66,127008.SZ,000070.SZ,2018-12-25,通信设备,主板,46.14681331,0.027999999999999973,2018,12
67,113521.SH,603626.SH,2018-12-07,专用机械,主板,36.072065980000005,-0.01989999999999995,2018,12
68,113020.SH,601233.SH,2018-12-12,化纤,主板,204.6030805,-0.0007999999999999829,2018,12
69,123017.SZ,300618.SZ,2018-12-24,小金属,创业板,147.8016,-0.02950000000000003,2018,12
70,110046.SH,600233.SH,2018-12-18,仓储物流,主板,290.15405025999996,0.010100000000000052,2018,12
71,110047.SH,600567.SH,2018-12-10,造纸,主板,144.88979003,0.0,2018,12
72,113522.SH,603305.SH,2018-12-11,汽车配件,主板,130.195,0.10030000000000001,2018,12
73,128049.SZ,002787.SZ,2018-12-20,广告包装,中小板,21.666703260000002,-0.03560000000000002,2018,12
74,110048.SH,600483.SH,2018-12-28,火力发电,主板,131.90517379000002,0.04,2018,12
75,113523.SH,603568.SH,2018-12-26,环境保护,主板,160.44484269999998,0.0,2018,12
76,128050.SZ,002865.SZ,2018-12-27,汽车配件,中小板,22.316112,-0.02769999999999996,2018,12
77,113524.SH,603677.SH,2019-01-07,机械基件,主板,27.323745150000004,-0.03810000000000002,2019,1
78,128051.SZ,002741.SZ,2019-01-09,化工原料,中小板,57.406697609999995,-0.03498999999999995,2019,1
79,113525.SH,603055.SH,2019-01-11,纺织,主板,58.75748000000001,-0.0009999999999999432,2019,1
80,110049.SH,600690.SH,2019-01-18,家用电器,主板,964.17828838,0.10700000000000003,2019,1
81,110050.SH,600728.SH,2019-01-21,软件服务,主板,131.60762082,0.035,2019,1
82,123018.SZ,300381.SZ,2019-01-23,生物制药,创业板,32.499753739999996,0.0,2019,1
83,128052.SZ,002783.SZ,2019-01-21,化工原料,中小板,26.343132,0.06,2019,1
84,127009.SZ,000811.SZ,2019-02-21,工程机械,主板,37.81183534,0.12099999999999994,2019,2
85,127010.SZ,000001.SZ,2019-02-18,银行,主板,1950.55873118,0.14,2019,2
86,113526.SH,603797.SH,2019-02-18,环境保护,主板,26.411492,0.037000000000000026,2019,2
87,113527.SH,603518.SH,2019-02-19,服饰,主板,27.173375949999997,0.06299999999999997,2019,2
88,128053.SZ,002551.SZ,2019-03-07,医疗保健,中小板,43.55513529,0.22219999999999998,2019,3
89,128054.SZ,002891.SZ,2019-03-14,饲料,中小板,38.44,0.0975,2019,3
90,123019.SZ,300393.SZ,2019-03-22,塑料,创业板,57.115739399999995,0.1475,2019,3
91,128055.SZ,002391.SZ,2019-04-03,农药化肥,中小板,52.05359886,0.25,2019,4
92,128056.SZ,002863.SZ,2019-03-22,汽车配件,中小板,27.224565000000002,0.09,2019,3
93,110051.SH,600522.SH,2019-03-22,通信设备,主板,310.28653913,0.11810000000000002,2019,3
94,113528.SH,603897.SH,2019-03-20,电气设备,主板,46.00936,0.135,2019,3
95,123020.SZ,300497.SZ,2019-03-29,化学制药,创业板,50.284752000000005,0.2,2019,3
96,113021.SH,601998.SH,2019-03-19,银行,主板,3131.82698067,0.07650000000000005,2019,3
97,123021.SZ,300168.SZ,2019-03-25,软件服务,创业板,167.99591233,0.15,2019,3
98,110052.SH,600996.SH,2019-03-29,影视音像,主板,106.8632652,0.19989999999999994,2019,3
99,128057.SZ,002649.SZ,2019-04-02,软件服务,中小板,52.601809259999996,0.15,2019,4
100,128058.SZ,002139.SZ,2019-04-08,元器件,中小板,63.58850353,0.2,2019,4
